cabin_id,cabin floor,Cabin
1,2,B5
2,3,C22 C26
3,5,E12
4,4,D7
5,1,A36
6,3,C101
7,3,C62 C64
8,2,B35
9,1,A23
10,2,B58 B60
11,4,D15
12,3,C6
13,4,D35
14,3,C148
15,3,C97
16,2,B49
17,3,C99
18,3,C52
19,1,A31
20,3,C7
21,3,C103
22,4,D22
23,5,E33
24,1,A21
25,2,B10
26,2,B4
27,5,E40
28,2,B38
29,5,E24
30,2,B51 B53 B55
31,2,B96 B98
32,3,C46
33,5,E31
34,5,E8
35,2,B61
36,2,B77
37,1,A9
38,3,C89
39,1,A14
40,5,E58
41,5,E49
42,5,E52
43,5,E45
44,2,B22
45,2,B26
46,3,C85
47,5,E17
48,2,B71
49,2,B20
50,1,A34
51,3,C86
52,1,A16
53,1,A20
54,1,A18
55,3,C54
56,3,C45
57,4,D20
58,1,A29
59,3,C95
60,5,E25
61,3,C111
62,3,C23 C25 C27
63,5,E36
64,4,D34
65,4,D40
66,2,B39
67,2,B41
68,2,B102
69,3,C123
70,5,E63
71,3,C130
72,2,B86
73,3,C92
74,1,A5
75,3,C51
76,2,B42
77,3,C91
78,3,C125
79,4,D10 D12
80,2,B82 B84
81,5,E50
82,4,D33
83,3,C83
84,2,B94
85,4,D49
86,4,D45
87,2,B69
88,2,B11
89,5,E46
90,3,C39
91,2,B18
92,4,D11
93,3,C93
94,2,B28
95,3,C49
96,2,B52 B54 B56
97,5,E60
98,3,C132
99,2,B37
100,4,D21
101,4,D19
102,3,C124
103,4,D17
104,2,B101
105,4,D28
106,4,D6
107,4,D9
108,2,B80
109,3,C106
110,2,B79
111,3,C47
112,4,D30
113,3,C90
114,5,E38
115,3,C78
116,3,C30
117,3,C118
118,4,D36
119,4,D48
120,4,D47
121,3,C105
122,2,B36
123,2,B30
124,4,D43
125,2,B24
126,3,C2
127,3,C65
128,2,B73
129,3,C104
130,3,C110
131,3,C50
132,2,B3
133,1,A24
134,1,A32
135,1,A11
136,1,A10
137,2,B57 B59 B63 B66
138,3,C28
139,5,E44
140,1,A26
141,1,A6
142,1,A7
143,3,C31
144,1,A19
145,2,B45
146,5,E34
147,2,B78
148,2,B50
149,3,C87
150,3,C116
151,3,C55 C57
152,4,D50
153,5,E68
154,5,E67
155,3,C126
156,3,C68
157,3,C70
158,3,C53
159,2,B19
160,4,D46
161,4,D37
162,4,D26
163,3,C32
164,3,C80
165,3,C82
166,3,C128
167,5,E39 E41
168,4,D
169,6,F4
170,4,D56
171,6,F33
172,5,E101
173,5,E77
174,6,F2
175,4,D38
176,6,F
177,6,F G63
178,6,F E57
179,6,F E46
180,6,F G73
181,5,E121
182,6,F E69
183,5,E10
184,7,G6
185,6,F38
